City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kununurra,AU,100.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
7,Sanmenxia,CN,81.59,scattered clouds,34.7747,111.1814,Pengzhou Hotel
14,Kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Kloulklubed,PW,84.76,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
23,Padang,ID,82.45,broken clouds,-0.9492,100.3543,Mercure Padang
26,Matay,EG,82.54,clear sky,28.419,30.7792,Nag Aespen
34,Najran,SA,84.85,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
49,Sabang,ID,81.86,overcast clouds,5.8933,95.3214,Hotel Citra
57,Butaritari,KI,81.97,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
61,Bandarbeyla,SO,85.3,broken clouds,9.4942,50.8122,JABIR HOTEL
63,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
67,Balkanabat,TM,93.27,clear sky,39.5108,54.3671,Nebitchi Hotel
69,Biloela,AU,84.15,scattered clouds,-24.4167,150.5,Silo Motor Inn Biloela
73,Meulaboh,ID,85.46,broken clouds,4.1363,96.1285,Kost Pria
106,Karratha,AU,87.01,clear sky,-20.7377,116.8463,ibis Styles Karratha
117,Hithadhoo,MV,81.97,scattered clouds,-0.6,73.0833,Scoop Guest House
119,Changping,CN,80.24,clear sky,40.2186,116.2197,Huachang Hotel
120,Keti Bandar,PK,85.03,scattered clouds,24.1447,67.4497,Haji laloo memon house
121,Bengkulu,ID,81.46,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
127,Dingle,PH,86.95,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
131,Quang Ngai,VN,83.75,moderate rain,15.1167,108.8,Central Hotel
141,Victoria,HK,91.45,scattered clouds,22.2855,114.1577,Mini Central
145,Torbat-E Jam,IR,82.4,clear sky,35.244,60.6225,White building
161,Sur,OM,89.42,clear sky,22.5667,59.5289,Sur Plaza Hotel
165,Mount Isa,AU,85.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
168,Chakulia,IN,87.55,scattered clouds,22.4833,86.7167,BKD
169,Pamanukan,ID,86.77,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
175,Perbaungan,ID,86.11,overcast clouds,3.5679,98.956,Bendang Lama
176,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
177,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
189,Ganzhou,CN,81.99,overcast clouds,28.8184,115.4327,Zhanqian Grand Hotel
194,Along,IN,83.19,broken clouds,28.1667,94.7667,Hotel West
210,Kavieng,PG,83.25,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
211,Khurda,IN,87.71,broken clouds,20.1833,85.6167,Bagbaan Villa
212,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
214,Sinjai,ID,85.62,light rain,-5.1241,120.253,Wisma Sandika
216,Kudahuvadhoo,MV,82.53,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
217,Santa Rosa,PH,83.1,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
219,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
257,Manadhoo,MV,81.91,clear sky,5.7667,73.3833,Bon Abri maldives
266,Binga,ZW,80.65,scattered clouds,-17.6203,27.3414,Lakeview Inn Binga
276,Alice Springs,AU,85.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
277,Nishihara,JP,87.46,scattered clouds,26.1842,127.7558,Minshuku Agaihama
284,Seydi,TM,91.72,clear sky,39.4816,62.9137,Seydi oteli
287,Hobyo,SO,81.09,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
292,Samarai,PG,80.65,overcast clouds,-10.6167,150.6667,Nuli Sapi
299,Kieta,PG,80.08,light rain,-6.2167,155.6333,Uruna Bay Retreat
300,Nhulunbuy,AU,90.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
302,Dan Khun Thot,TH,91.33,overcast clouds,15.2085,101.7714,Sai Thong Hotel
303,Bayji,IQ,89.87,overcast clouds,34.9311,43.487,دار الضيافة
313,Kavaratti,IN,81.05,clear sky,10.5669,72.642,Green leaf
314,Boyolangu,ID,82.13,overcast clouds,-8.1181,111.8935,Yos ega cv
315,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
320,Kihei,US,80.62,scattered clouds,20.785,-156.4656,Maui Sunset
331,Corsicana,US,81.16,clear sky,32.0954,-96.4689,"Holiday Inn Express & Suites Corsicana I-45, an IHG Hotel"
335,Kalmunai,LK,87.44,broken clouds,7.4167,81.8167,VS Villa
341,Lishan,CN,84.78,overcast clouds,31.8576,113.2951,Hongdu Hotel
347,Khowst,AF,81.36,clear sky,33.3833,69.8833,وچه خوړه،Wacha Khwara
354,The Valley,AI,83.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
357,Mecca,SA,92.66,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
358,Mae Sot,TH,87.75,scattered clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
368,Cabo San Lucas,MX,80.06,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
372,Minggang,CN,85.42,overcast clouds,32.4586,114.0486,Yindu Hotel
374,Hambantota,LK,89.94,few clouds,6.1241,81.1185,Bungalow 63
378,Kuching,MY,91.62,scattered clouds,1.55,110.3333,Hilton Kuching
380,Corn Island,NI,82.58,broken clouds,12.1694,-83.0418,Big Fish Guest House
381,Veraval,IN,82.54,scattered clouds,20.9,70.3667,Lords Inn Somnath
382,Naze,JP,83.32,few clouds,28.3667,129.4833,Shishime Hotel
387,Port Blair,IN,84.24,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
388,Key Largo,US,80.98,few clouds,25.0865,-80.4473,Bayside Inn Key Largo
393,Qeshm,IR,91.29,broken clouds,26.9581,56.2719,Qeshm Kavan Hotel
397,Korla,CN,83.14,overcast clouds,41.7597,86.1469,Gulisitan Hotel
410,Wana,PK,81.88,clear sky,32.2989,69.5725,Rest House at Wana Camp
413,Xiaoweizhai,CN,82.04,broken clouds,26.1903,107.5125,Karst Youth Hostel
414,Beaufort,MY,89.38,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
419,Port Antonio,JM,82.31,few clouds,18.18,-76.4612,The Trident Hotel
437,Vinh,VN,83.07,moderate rain,18.6667,105.6667,Vuong Hoan 2
440,Puri,IN,88.32,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
444,Cockburn Town,TC,81.93,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
446,Maumere,ID,85.71,scattered clouds,-8.6199,122.2111,Sylvia Hotel
447,Sola,VU,80.51,broken clouds,-13.8833,167.55,Leumerus Bungalows
451,Yulara,AU,84.31,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
452,Nouakchott,MR,82.67,overcast clouds,18.0858,-15.9785,HOTEL IMAN
473,Biltine,TD,83.1,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
476,Marsh Harbour,BS,83.21,clear sky,26.5412,-77.0636,Abaco Beach Resort
477,Baghdad,IQ,89.51,few clouds,33.3406,44.4009,Baghdad Hotel
478,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
479,Amahai,ID,81.37,light rain,-3.3333,128.9167,HOTEL ISABELA
481,Bandar-E Lengeh,IR,91.51,clear sky,26.5579,54.8807,کافی نت پارس
489,Panubigan,PH,83.53,overcast clouds,7.4281,123.3466,Brent's Garden and Resorts
491,Bambanglipuro,ID,82.09,overcast clouds,-7.95,110.2833,Puri Brata
498,Kulhudhuffushi,MV,81.93,clear sky,6.6221,73.07,Haajy Guest House 1
500,Beni Suef,EG,81.34,clear sky,29.0731,31.0979,Jewel Inn Beni Suef
515,Kota Belud,MY,84.04,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
517,Sadiqabad,PK,98.29,clear sky,28.3062,70.1307,MIDWAY HOTEL & RESTAURANT
519,Banyuwangi,ID,87.21,scattered clouds,-8.2325,114.3576,SPOT ON 1842 Cevilla Bnb Residence Syariah
520,Buluang,PH,81.16,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
523,San Patricio,US,82.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
532,Pokhara,NP,82.02,broken clouds,28.2333,83.9833,OYO 170 Hotel View Point
533,Ganganagar,IN,94.15,clear sky,29.9167,73.8833,AMOR HOTEL
535,Ponot,PH,85.24,broken clouds,8.452,123.0222,Jose Dalman Municipal Building
542,Ambilobe,MG,84.9,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
549,Arlit,NE,89.33,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
554,Manggar,ID,85.64,broken clouds,-2.8833,108.2667,Guest Hotel
555,Marzuq,YE,87.87,scattered clouds,14.4,46.4667,حيد القفلة
560,Itoman,JP,86.77,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
572,Abu Dhabi,AE,95.02,clear sky,24.4667,54.3667,Beach Rotana
575,Marovoay,MG,83.59,scattered clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
576,Estelle,US,82.99,few clouds,29.8458,-90.1067,Ohio
579,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
584,Yanam,IN,91.17,heavy intensity rain,16.7333,82.2167,The Regency Hotel
588,Miramar,US,81.0,clear sky,25.9873,-80.2323,Stadium Hotel
589,Barreirinha,BR,80.62,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
599,Bushehr,IR,95.09,clear sky,28.9684,50.8385,Yas Hotel
606,Nizwa,OM,91.63,clear sky,22.9333,57.5333,Orient Apartments
611,Hirara,JP,85.86,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
629,Dickinson,US,81.12,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
632,Port Hedland,AU,95.05,few clouds,-20.3167,118.5667,The Esplanade Hotel
634,Chor,PK,92.41,scattered clouds,25.5167,69.7667,Asad U Bajeer Hotel
636,Manokwari,ID,83.64,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
